config_lang_enUS,English (US),Inglês (EUA)
config_lang_ptBR,Portuguese (BR),Português (BR)
config_key_lt,Left,Esquerda
config_key_rt,Right,Direita
config_key_up,Up,Cima
config_key_dn,Down,Baixo
config_key_slct,Confirm,Confirmar
config_key_cncl,Cancel,Cancelar
config_key_inv,Inventory,Inventário
config_key_use,Effect/Item,Efeito/Item
config_key_atwlk,Autowalk,Autowalk
config_key_pse,Pause,Pausar
config_key_fscr,Fullscreen,Tela Cheia
config_vid_fscr_name,Fullscreen,Tela Cheia
config_vid_vsync_name,Vsync,Vsync
config_vid_showVer_name,Show Version,Mostrar Versão
config_vid_showCsr_name,Show Cursor,Mostrar Cursor
config_vid_showFps_name,Show FPS,Mostrar FPS
config_vid_showBdr_name,Show Border,Mostrar Borda
config_aud_emtr_master,Master,Geral
config_aud_emtr_mus,Music,Música
config_aud_emtr_amb,Ambience,Ambiente
config_aud_emtr_menu,Menu,Menu
config_aud_emtr_player,Player,Jogador
config_aud_emtr_prop,Props,Objetos
config_aud_emtr_actor,Entities,Entidades
player_eff_name_sal0,Salenis 0,Salenis 0
player_eff_name_sal1,Salenis 1,Salenis 1
player_eff_name_sal2,Salenis 2,Salenis 2
player_eff_desc_sal0,Salenis is a world-famous dish.\nIt tastes funny.,O Salenis é uma comida muito famosa.\nO gosto dele é peculiar.
player_eff_desc_sal1,Salenis is a fascinating creation.\nIts smell is pleasing.,O Salenis é uma criação fascinante.\nO cheiro dele é delicioso.
player_eff_desc_sal2,Salenis is a political symbol.\nIts texture is horrifying.,O Salenis é um símbolo político.\nA textura dele é horrível.
player_itm_name_kart,Kart,Kart
player_itm_desc_kart,...?,...?
player_thm_name_dflt,Default,Padrão
player_thm_name_simple,Simple,Simples
player_thm_name_madot,Madotsuki,Madotsuki
player_thm_desc_dflt,The default theme.,O tema padrão.
player_thm_desc_simple,"A simple, yet elegant, theme.","Um tema simples, mas elegante."
player_thm_desc_madot,A familiar theme.,Um tema familiar.